,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
225,000063.SZ,20180911,17.15,17.61,17.07,17.45,17.06,0.39000000000000057,2.286,1274231.54,2215595.122
226,000063.SZ,20180910,18.0,18.05,16.9,17.06,18.09,-1.0300000000000011,-5.6938,1847917.39,3207166.207
227,000063.SZ,20180907,18.9,18.91,17.79,18.09,18.69,-0.6000000000000014,-3.2103,1753971.23,3222454.966
228,000063.SZ,20180906,18.7,19.17,18.4,18.69,18.81,-0.11999999999999744,-0.638,1650107.99,3102118.684
229,000063.SZ,20180905,18.31,19.48,18.07,18.81,18.55,0.259999999999998,1.4016,2326532.12,4382323.836
230,000063.SZ,20180904,17.96,18.79,17.93,18.55,18.15,0.40000000000000213,2.2039,1936614.43,3576956.558
231,000063.SZ,20180903,19.0,19.0,17.4,18.15,19.09,-0.9400000000000013,-4.924,2500720.07,4483917.807
232,000063.SZ,20180831,18.97,19.57,18.84,19.09,18.95,0.14000000000000057,0.7388,2107785.66,4055625.429
233,000063.SZ,20180830,19.48,19.64,18.72,18.95,19.45,-0.5,-2.5707,2054113.17,3923244.823
234,000063.SZ,20180829,19.1,19.45,18.71,19.45,18.95,0.5,2.6385,2084315.82,3987970.276
235,000063.SZ,20180828,18.23,19.54,18.17,18.95,18.4,0.5500000000000007,2.9891,2763448.88,5238236.368
236,000063.SZ,20180827,17.25,18.64,17.1,18.4,17.14,1.259999999999998,7.3512,2455107.78,4432256.821
237,000063.SZ,20180824,17.2,17.47,16.85,17.14,17.38,-0.23999999999999844,-1.3809,2010540.79,3437744.211
238,000063.SZ,20180823,16.1,17.63,15.97,17.38,16.03,1.3499999999999979,8.4217,3280145.76,5542255.943
239,000063.SZ,20180822,16.13,16.56,16.0,16.03,16.34,-0.3099999999999987,-1.8972,1211492.94,1966365.27
240,000063.SZ,20180821,16.15,16.8,16.01,16.34,16.33,0.010000000000001563,0.0612,1996241.51,3258600.215
241,000063.SZ,20180820,15.84,16.43,15.29,16.33,15.9,0.42999999999999794,2.7044,1865353.7,2983534.81
242,000063.SZ,20180817,16.15,16.38,15.87,15.9,15.86,0.040000000000000924,0.2522,1782749.86,2868503.848
243,000063.SZ,20180816,15.26,16.58,15.11,15.86,15.62,0.2400000000000002,1.5365,2680917.37,4306820.665
244,000063.SZ,20180815,16.3,16.32,15.53,15.62,16.3,-0.6800000000000015,-4.1718,2096033.61,3310059.164
245,000063.SZ,20180814,15.48,16.48,15.22,16.3,15.39,0.9100000000000001,5.9129,2636753.15,4213296.411
246,000063.SZ,20180813,14.29,15.66,14.12,15.39,14.5,0.8900000000000006,6.1379,2639962.35,3997839.709
247,000063.SZ,20180810,14.61,14.68,14.09,14.5,14.3,0.1999999999999993,1.3986,2251141.7,3232529.648
248,000063.SZ,20180809,13.12,14.3,13.05,14.3,13.0,1.3000000000000007,10.0,2167369.51,3037154.804
249,000063.SZ,20180808,13.6,13.6,12.97,13.0,13.7,-0.6999999999999993,-5.1095,1029121.54,1366763.412
250,000063.SZ,20180807,13.3,13.82,12.97,13.7,13.2,0.5,3.7879,1342545.35,1803129.979
251,000063.SZ,20180806,13.1,13.36,12.85,13.2,13.35,-0.15000000000000036,-1.1236,970793.74,1269620.565
252,000063.SZ,20180803,13.91,13.94,13.34,13.35,14.03,-0.6799999999999997,-4.8468,1121559.35,1522976.62
253,000063.SZ,20180802,14.5,14.5,13.64,14.03,14.67,-0.6400000000000006,-4.3626,1407781.79,1968821.152
254,000063.SZ,20180801,14.65,15.07,14.65,14.67,14.6,0.07000000000000028,0.4795,1131135.8,1679784.81
255,000063.SZ,20180731,14.97,15.06,14.53,14.6,15.08,-0.4800000000000004,-3.183,1158591.28,1707005.944
256,000063.SZ,20180730,15.35,15.55,14.92,15.08,15.43,-0.34999999999999964,-2.2683,1068878.6,1619957.076
257,000063.SZ,20180727,15.24,15.85,14.83,15.43,15.34,0.08999999999999986,0.5867,1392244.63,2155847.511
258,000063.SZ,20180726,16.21,16.22,15.27,15.34,16.31,-0.9699999999999989,-5.9473,2057577.71,3210128.068
259,000063.SZ,20180725,16.69,16.83,16.25,16.31,16.68,-0.370000000000001,-2.2182,1519398.15,2505177.13
260,000063.SZ,20180724,16.63,16.78,16.4,16.68,16.62,0.05999999999999872,0.361,1712971.63,2839728.209
261,000063.SZ,20180723,16.4,16.98,16.0,16.62,16.52,0.10000000000000142,0.6053,1694419.66,2814426.396
262,000063.SZ,20180720,16.82,16.83,16.33,16.52,16.85,-0.33000000000000185,-1.9585,1700386.05,2809048.959
263,000063.SZ,20180719,16.54,16.94,16.31,16.85,16.53,0.3200000000000003,1.9359,2213461.96,3690619.484
264,000063.SZ,20180718,17.56,17.56,16.06,16.53,17.06,-0.5299999999999976,-3.1067,3161499.45,5305375.222
265,000063.SZ,20180717,16.38,17.06,16.28,17.06,15.51,1.549999999999999,9.9936,4217697.17,7090296.342
