,code,pledge_date,alarm_line,close_position_line,price_on_pledge,total_pledge_nb,total_share_ratio,total_stock_ratio,close_position_date,is_st
464,002068.SZ,2017-08-17,6.12,5.36,9.56,9606.84,100.0,13.21,2019-05-09,0
465,002068.SZ,2017-08-17,6.12,5.36,9.56,9606.84,100.0,13.21,2019-05-09,0
466,002069.SZ,2017-12-06,5.06,4.42,7.9,21876.0,100.0,30.76,2018-02-12,0
467,002071.SZ,2019-04-01,3.81,3.34,5.96,3250.0,79.67,6.19,2019-08-05,0
468,002071.SZ,2018-06-22,3.71,3.24,5.79,192.73,80.1,0.37,2019-08-06,0
469,002071.SZ,2018-06-22,3.71,3.24,5.79,77.34,48.21,0.15,2019-08-06,0
470,002071.SZ,2018-04-11,5.44,4.76,8.5,3548.0,86.98,6.75,2018-10-15,0
471,002071.SZ,2018-03-21,5.55,4.86,8.67,15856.0,84.65,30.18,2018-10-11,0
472,002071.SZ,2018-02-08,6.05,5.29,9.45,18256.0,97.47,34.74,2018-08-17,0
473,002071.SZ,2018-01-18,6.08,5.32,9.5,15606.0,83.32,29.7,2018-07-11,0
474,002071.SZ,2017-12-26,6.63,5.8,10.36,169.05,70.26,0.32,2018-06-22,0
475,002071.SZ,2017-12-22,6.94,6.07,10.84,67.62,42.15,0.13,2018-06-22,0
476,002071.SZ,2017-12-22,6.94,6.07,10.84,33.81,14.05,0.06,2018-06-22,0
477,002071.SZ,2017-11-13,6.36,5.57,9.94,18206.0,99.43,34.65,2018-06-26,0
478,002071.SZ,2017-10-30,6.36,5.57,9.94,16706.0,91.24,31.79,2018-06-26,0
479,002071.SZ,2017-10-17,6.36,5.57,9.94,14186.0,77.48,27.0,2018-06-26,0
480,002071.SZ,2017-08-21,6.53,5.72,10.21,18223.64,99.53,34.68,2018-06-25,0
481,002071.SZ,2016-03-08,8.32,7.28,12.99,18223.64,99.53,34.68,2018-06-20,0
482,002074.SZ,2017-11-15,16.24,14.21,25.37,4000.0,18.42,4.56,2018-06-14,0
483,002075.SZ,2018-09-26,10.27,8.98,16.04,11220.0,80.14,5.08,2018-11-28,0
484,002076.SZ,2018-06-05,3.62,3.17,5.66,176.72,13.97,0.23,2018-10-08,0
485,002076.SZ,2018-04-12,3.54,3.1,5.53,22096.0,90.54,30.26,2018-10-08,0
486,002076.SZ,2017-05-18,4.52,3.96,7.07,37910.00778467909,82.15942010362694,18.55983436853002,2018-08-27,0
487,002076.SZ,2016-08-08,5.35,4.68,8.35,3940.0,95.31,10.73,2018-02-01,0
488,002077.SZ,2018-03-30,7.03,6.15,10.98,14200.0,49.97,24.47,2018-07-06,0
489,002092.SZ,2018-02-02,8.98,7.85,14.03,15033.07,74.82,7.0,2018-10-11,0
490,002092.SZ,2018-02-01,8.9,7.78,13.9,14893.47,74.13,6.94,2018-10-11,0
491,002092.SZ,2018-02-01,8.9,7.78,13.9,14893.47,74.13,6.94,2018-10-11,0
492,002092.SZ,2018-02-01,8.9,7.78,13.9,14893.47,74.13,6.94,2018-10-11,0
493,002092.SZ,2018-01-16,8.94,7.82,13.97,15089.87,75.1,7.03,2018-10-11,0
494,002092.SZ,2018-01-10,9.19,8.04,14.36,14935.52,74.34,6.98,2018-10-11,0
495,002092.SZ,2018-01-08,9.39,8.21,14.66,15074.92,75.03,7.02,2018-09-17,0
496,002092.SZ,2017-12-19,8.4,7.35,13.12,12731.01,90.27,5.93,2018-10-11,0
497,002092.SZ,2017-12-11,8.83,7.72,13.79,12710.95,63.26,5.92,2018-10-11,0
498,002092.SZ,2017-12-07,8.43,7.38,13.18,13160.95,65.5,6.13,2018-10-11,0
499,002092.SZ,2017-12-07,8.43,7.38,13.18,13160.95,65.5,6.13,2018-10-11,0
